orf_name,hours,n,normalized_cs,q_cs,effect_cs,exp_id,exp_environment
YAR003W,35,4,0.975143,0.004709,unchanged,91,"N++,C+"
YAR003W,58,4,0.879523,0.001224,decreased,93,"N-,C++"
YAR007C,34,2,0.991311,0.042753,unchanged,28,"N+, C+"
YAR007C,34,2,0.987254,0.022743,unchanged,31,"N+, C++"
YAR007C,34,2,1.021822,0.273891,unchanged,33,"N++,C++"
YAR007C,35,2,1.041291,0.097973,unchanged,91,"N++,C+"
YAR007C,58,2,1.010477,0.239646,unchanged,93,"N-,C++"
YAR008W,34,4,0.944013,0.000755,decreased,28,"N+, C+"
YAR008W,34,4,0.962623,0.000984,decreased,31,"N+, C++"
YAR008W,34,4,0.949471,0.001071,decreased,33,"N++,C++"
YAR008W,35,4,0.988195,0.019076,unchanged,91,"N++,C+"
YAR008W,58,4,1.009686,0.160374,unchanged,93,"N-,C++"
YAR015W,34,4,0.972093,0.001847,decreased,28,"N+, C+"
YAR015W,34,4,0.9816,0.007596,unchanged,31,"N+, C++"
YAR015W,34,4,0.99388,0.025095,unchanged,33,"N++,C++"
YAR015W,35,4,0.975764,0.004182,unchanged,91,"N++,C+"
YAR015W,58,4,0.994205,0.104547,unchanged,93,"N-,C++"
YAR018C,34,4,0.773508,0.000755,decreased,28,"N+, C+"
YAR018C,34,4,0.781289,0.000892,decreased,31,"N+, C++"
YAR018C,34,4,0.769604,0.001045,decreased,33,"N++,C++"
YAR018C,35,4,0.838866,0.00151,decreased,91,"N++,C+"
YAR018C,58,4,0.875864,0.001182,decreased,93,"N-,C++"
YAR020C,34,4,0.998194,0.038043,unchanged,28,"N+, C+"
YAR020C,34,4,0.978929,0.00924,unchanged,31,"N+, C++"
YAR020C,34,4,1.005496,0.122764,unchanged,33,"N++,C++"
YAR020C,35,4,1.007767,0.25846,unchanged,91,"N++,C+"
YAR020C,58,4,0.97707,0.008377,unchanged,93,"N-,C++"
YAR023C,34,4,0.902626,0.000755,decreased,28,"N+, C+"
YAR023C,34,4,0.922198,0.000892,decreased,31,"N+, C++"
YAR023C,34,4,0.95014,0.001126,decreased,33,"N++,C++"
YAR023C,35,4,0.91834,0.00151,decreased,91,"N++,C+"
YAR023C,58,4,0.908713,0.001182,decreased,93,"N-,C++"
YAR027W,34,4,0.959188,0.001499,decreased,28,"N+, C+"
YAR027W,34,4,0.979912,0.013255,unchanged,31,"N+, C++"
YAR027W,34,4,1.020377,0.210706,unchanged,33,"N++,C++"
YAR027W,35,4,0.968101,0.038091,unchanged,91,"N++,C+"
YAR027W,58,4,0.981607,0.062258,unchanged,93,"N-,C++"
YAR028W,34,4,0.98965,0.010093,unchanged,28,"N+, C+"
YAR028W,34,4,0.989969,0.004033,unchanged,31,"N+, C++"
YAR028W,34,4,0.973712,0.010276,unchanged,33,"N++,C++"
YAR028W,35,4,1.006012,0.13304,unchanged,91,"N++,C+"
YAR028W,58,4,1.005139,0.122789,unchanged,93,"N-,C++"
YAR029W,34,4,1.033335,0.076176,unchanged,28,"N+, C+"
YAR029W,34,4,1.027378,0.226041,unchanged,31,"N+, C++"
YAR029W,34,4,1.02515,0.266743,unchanged,33,"N++,C++"
YAR029W,35,4,1.009897,0.302052,unchanged,91,"N++,C+"
YAR029W,58,4,0.995513,0.147107,unchanged,93,"N-,C++"
YAR031W,34,4,1.060133,0.022105,unchanged,28,"N+, C+"
YAR031W,34,4,1.020306,0.192369,unchanged,31,"N+, C++"
YAR031W,34,4,0.999461,0.136101,unchanged,33,"N++,C++"
YAR031W,35,4,1.087573,0.019795,unchanged,91,"N++,C+"
YAR031W,58,4,1.051813,0.076663,unchanged,93,"N-,C++"
