"orf_name","colony_id","colony_size"
"YJL208C",200985,1.011969
"YDR495C",200986,0.890872
"YJL166W",200987,1.030459
"YOR356W",200988,0.98268
"YKL082C",200989,0.962438
"YMR068W",200990,1.016865
"YHR119W",200991,0.941803
"YAL056W",200992,0.984992
"YJL083W",200993,0.904165
"YDL240W",200994,1.018814
"YKL186C",200995,0.980173
"YOL048C",200996,0.99736
"YGR251W",200997,1.001632
"YOR056C",200998,0.990875
"YLR357W",200999,0.849863
"YLR383W",201000,0.956842
"YKR098C",201002,0.947002
"YKR020W",201003,0.987371
"YCL042W",201004,1.018847
"YNL294C",201005,0.980526
"YPR034W",201006,0.947851
"YJR036C",201007,0.929395
"YLR383W",201008,0.810107
"YKR014C",201009,0.990875
"YGL207W",201010,0.855542
"YJL065C",201011,0.962751
"YPL018W",201012,0.985872
"YOR060C",201013,0.965054
"YDR388W",201014,0.978576
"YDR096W",201015,0.34268
"YPL036W",201016,0.944438
"YKL181W",201017,0.920416
"YKR067W",201018,1.044184
"YBR182C",201019,0.191552
"YHR084W",201030,0
"YLR214W",201032,0.938197
"YLL014W",201033,0.956928
"YKL187C",201034,1.041805
"YOR150W",201035,1.057326
"YKL106W",201036,0.998677
"YKL041W",201037,0.903328
"YDR314C",201038,0.925781
"YJL079C",201039,0.941132
"YBR112C",201040,0.730712
"YLR161W",201041,1.071126
"YBL051C",201042,0.991205
"YPL049C",201044,0.981627
"YKL130C",201045,0.982921
"YPL106C",201046,0.820057
"YJL124C",201047,0.985945
"YER144C",201048,1.053704
"YLR161W",201049,0.999322
"YLL043W",201050,0.933123
"YPL144W",201051,0.978108
"YNL206C",201052,0.980533
"YJR113C",201053,1.023664
"YLR035C",201054,0.9873
"YJL185C",201055,0.947737
"YDR369C",201056,0.934653
"YLR110C",201057,0.983713
"YLR054C",201058,0.976047
"YPL163C",201059,0.987594
"YDL235C",201060,1.023109
"YKL040C",201061,0.964184
"YHL009C",201062,0.922181
"YJR025C",201063,1.022347
"YDR293C",201064,0.724553
"YLR245C",201065,1.073755
"YNL045W",201066,1.062097
"YPL213W",201067,0.994247
"YAL062W",201068,0.985653
"YJR011C",201069,0.985393
"YLR452C",201070,0.968534
"YJR034W",201071,1.041107
"YLR240W",201072,0.952764
"YLR281C",201073,0.875931
"YBR080C",201074,0.960216
"YPL239W",201075,1.025067
"YDL189W",201076,0.786551
"YJR101W",201077,1.011209
"YGR266W",201078,0.99908
"YKL070W",201079,1.006893
"YML016C",201080,0
"YJL057C",201082,1.088676
"YPL267W",201083,1.02948
"YIL042C",201095,1.075397
"YGL119W",201096,1.011956
"YPR130C",201097,0.957084
"YCR072C",201099,0.979245
"YMR033W",201100,0.990875
"YBR298C",201101,0.987579
"YER078W-A",201102,1.032823
"YBL015W",201104,0.989281
"YNL076W",201106,0.750932
"YDL088C",201107,0.664227
"YDR228C",201108,1.002293
"YBR237W",201109,0.94011
"YML009C",201110,0.990875
"YJR024C",201111,0.976247
"YER014W",201112,0.959851
"YHR126C",201113,0.993407
"YPR190C",201114,0.99594
"YNL305C",201115,0.988349
"YER096W",201116,1.005437
"YCR011C",201117,0.959518
"YBR005W",201119,1.027111
"YGR080W",201120,0.993407
"YMR315W-A",201122,1.034893
"YPL130W",201123,0.982145
"YML006C",201124,1.039985
"YKR025W",201125,1.018556
"YPR057W",201126,1.014352
"YBL016W",201127,0.99936
"YLR196W",201128,0.961883
"YAR029W",201129,1.032583
"YLR466C-B",201130,1.001251
"YDL085W",201132,0.976066
"YKL162C",201133,0.97988
"YLR154C-G",201134,1.084593
"YHL025W",201136,1.057379
"YDL187C",201137,1.041303
"YAR035C-A",201138,1.018269
"YBR008C",201140,0.841045
"YGR044C",201142,0.851601
"YGR267C",201143,1.037302
"YJL031C",201144,1.01662
"YDR491C",201145,1.064033
"YIR021W-A",201146,1.005414
"YGR124W",201147,0.985691
"YMR217W",201158,1.064319
"YOR385W",201159,1.065341
"YAL010C",201160,0.77683
"YKL151C",201161,0.943567
"YGR126W",201162,0.951651
"YKL213C",201163,0.918692
"YDL160C-A",201164,1.036209
"YKL154W",201166,1.096112
"YOR301W",201167,0.990212
"YFL028C",201168,0.970964
"YKR088C",201169,0.995834
"YGR114C",201170,1.050558
"YHR166C",201172,1.025677
"YOR219C",201173,0.955696
"YNL154C",201174,1.064201
"YPL003W",201175,1.089221
"YNL055C",201176,0.923741
"YLR038C",201177,0.982499
"YGR167W",201178,1.010692
"YIL147C",201179,0.695373
"YDR435C",201180,1.027243
"YMR189W",201181,0.8646
"YGR120C",201182,0.990875
"YOR348C",201183,0.969041
